Symbol,Latest_Date,Latest_Price,Data_Points,CSV_File
AAPL,2025-08-22,228.28,1256,AAPL_history.csv
MSFT,2025-08-22,508.2,1256,MSFT_history.csv
GOOGL,2025-08-22,208.2,1256,GOOGL_history.csv
AMZN,2025-08-22,228.07,1256,AMZN_history.csv
TSLA,2025-08-22,337.45,1256,TSLA_history.csv
META,2025-08-22,754.74,1256,META_history.csv
JNJ,2025-08-22,179.35,1256,JNJ_history.csv
V,2025-08-22,349.54,1256,V_history.csv
JPM,2025-08-22,296.14,1256,JPM_history.csv
NVDA,2025-08-22,178.02,1256,NVDA_history.csv
UNH,2025-08-22,305.33,1256,UNH_history.csv
HD,2025-08-22,413.42,1256,HD_history.csv
PG,2025-08-22,158.44,1256,PG_history.csv
MA,2025-08-22,598.09,1256,MA_history.csv
BAC,2025-08-22,49.46,1256,BAC_history.csv
ABBV,2025-08-22,209.63,1256,ABBV_history.csv
PFE,2025-08-22,25.81,1256,PFE_history.csv
KO,2025-08-22,70.18,1256,KO_history.csv
AVGO,2025-08-22,297.2,1256,AVGO_history.csv
PEP,2025-08-22,149.87,1256,PEP_history.csv
TMO,2025-08-22,498.87,1256,TMO_history.csv
COST,2025-08-22,956.05,1256,COST_history.csv
DHR,2025-08-22,211.54,1256,DHR_history.csv
MRK,2025-08-22,86.96,1256,MRK_history.csv
ACN,2025-08-22,260.27,1256,ACN_history.csv
VZ,2025-08-22,44.45,1256,VZ_history.csv
ADBE,2025-08-22,361.07,1256,ADBE_history.csv
CRM,2025-08-22,247.94,1256,CRM_history.csv
NFLX,2025-08-22,1206.02,1256,NFLX_history.csv
CMCSA,2025-08-22,33.94,1256,CMCSA_history.csv
TXN,2025-08-22,207.8,1256,TXN_history.csv
NEE,2025-08-22,76.11,1256,NEE_history.csv
PM,2025-08-22,171.96,1256,PM_history.csv
RTX,2025-08-22,156.88,1256,RTX_history.csv
UNP,2025-08-22,227.56,1256,UNP_history.csv
IBM,2025-08-22,241.95,1256,IBM_history.csv
QCOM,2025-08-22,158.43,1256,QCOM_history.csv
LMT,2025-08-22,445.84,1256,LMT_history.csv
HON,2025-08-22,222.33,1256,HON_history.csv
INTU,2025-08-22,662.48,1256,INTU_history.csv
AMAT,2025-08-22,163.15,1256,AMAT_history.csv
T,2025-08-22,29.01,1256,T_history.csv
SBUX,2025-08-22,89.07,1256,SBUX_history.csv
GILD,2025-08-22,115.08,1256,GILD_history.csv
BMY,2025-08-22,47.97,1256,BMY_history.csv
GE,2025-08-22,267.0,1256,GE_history.csv
CAT,2025-08-22,435.79,1256,CAT_history.csv
DE,2025-08-22,495.21,1256,DE_history.csv
MMC,2025-08-22,210.84,1256,MMC_history.csv
BLK,2025-08-22,1148.25,1256,BLK_history.csv
SPGI,2025-08-22,557.19,1256,SPGI_history.csv
ADI,2025-08-22,253.37,1256,ADI_history.csv
ISRG,2025-08-22,475.18,1256,ISRG_history.csv
REGN,2025-08-22,592.0,1256,REGN_history.csv
MDLZ,2025-08-22,63.23,1256,MDLZ_history.csv
TJX,2025-08-22,136.48,1256,TJX_history.csv
DUK,2025-08-22,124.36,1256,DUK_history.csv
SO,2025-08-22,94.46,1256,SO_history.csv
BDX,2025-08-22,199.49,1256,BDX_history.csv
LLY,2025-08-22,710.99,1256,LLY_history.csv
XOM,2025-08-22,110.96,1256,XOM_history.csv
CVX,2025-08-22,158.29,1256,CVX_history.csv
WMT,2025-08-22,97.18,1256,WMT_history.csv
DIS,2025-08-22,118.92,1256,DIS_history.csv
NKE,2025-08-22,78.57,1256,NKE_history.csv
MCD,2025-08-22,314.55,1256,MCD_history.csv
ORCL,2025-08-22,236.8,1256,ORCL_history.csv
CSCO,2025-08-22,67.21,1256,CSCO_history.csv
INTC,2025-08-22,24.81,1256,INTC_history.csv
AMD,2025-08-22,167.68,1256,AMD_history.csv
MU,2025-08-22,118.55,1256,MU_history.csv
AMGN,2025-08-22,293.86,1256,AMGN_history.csv
TGT,2025-08-22,99.07,1256,TGT_history.csv
LOW,2025-08-22,264.05,1256,LOW_history.csv
UPS,2025-08-22,88.19,1256,UPS_history.csv
FDX,2025-08-22,236.38,1256,FDX_history.csv
BA,2025-08-22,231.24,1256,BA_history.csv
GS,2025-08-22,741.58,1256,GS_history.csv
MS,2025-08-22,147.79,1256,MS_history.csv
C,2025-08-22,95.13,1256,C_history.csv
WFC,2025-08-22,79.0,1256,WFC_history.csv
SCHW,2025-08-22,94.54,1256,SCHW_history.csv
AXP,2025-08-22,319.45,1256,AXP_history.csv
USB,2025-08-22,48.26,1256,USB_history.csv
PNC,2025-08-22,201.67,1256,PNC_history.csv
COF,2025-08-22,221.76,1256,COF_history.csv
AIG,2025-08-22,83.24,1256,AIG_history.csv
PRU,2025-08-22,109.72,1256,PRU_history.csv
MET,2025-08-22,81.18,1256,MET_history.csv
ALL,2025-08-22,205.46,1256,ALL_history.csv
TRV,2025-08-22,277.06,1256,TRV_history.csv
PGR,2025-08-22,248.4,1256,PGR_history.csv
CB,2025-08-22,278.05,1256,CB_history.csv
AFL,2025-08-22,108.67,1256,AFL_history.csv
HUM,2025-08-22,300.34,1256,HUM_history.csv
CI,2025-08-22,305.45,1256,CI_history.csv
DVA,2025-08-22,140.51,1256,DVA_history.csv
HCA,2025-08-22,405.55,1256,HCA_history.csv
ISRG,2025-08-22,475.18,1256,ISRG_history.csv
ALGN,2025-08-22,148.89,1256,ALGN_history.csv
DXCM,2025-08-22,81.98,1256,DXCM_history.csv
BIIB,2025-08-22,139.07,1256,BIIB_history.csv
VRTX,2025-08-22,396.06,1256,VRTX_history.csv
BMRN,2025-08-22,58.12,1256,BMRN_history.csv
ILMN,2025-08-22,101.97,1256,ILMN_history.csv
WAT,2025-08-22,302.0,1256,WAT_history.csv
IDXX,2025-08-22,645.22,1256,IDXX_history.csv
ALNY,2025-08-22,458.74,1256,ALNY_history.csv
